ForeTime,Load
01/26 00,253.53
01/26 01,259.77
01/26 02,261.47
01/26 03,259.42
01/26 04,251.67
01/26 05,247.28
01/26 06,242.4
01/26 07,237.0
01/26 08,236.66
01/26 09,242.87
01/26 10,254.38
01/26 11,273.49
01/26 12,295.8
01/26 13,312.14
01/26 14,310.91
01/26 15,294.54
01/26 16,267.6
01/26 17,246.79
01/26 18,231.23
01/26 19,219.08
01/26 20,210.33
01/26 21,205.8
01/26 22,207.59
01/26 23,216.03
01/27 00,229.93
01/27 01,231.46
01/27 02,227.91
01/27 03,220.68
01/27 04,211.88
01/27 05,202.13
01/27 06,192.94
01/27 07,185.8
01/27 08,183.32
01/27 09,185.25
01/27 10,194.27
01/27 11,213.72
01/27 12,244.42
01/27 13,264.93
01/27 14,265.81
01/27 15,254.04
01/27 16,236.19
01/27 17,221.97
01/27 18,213.31
01/27 19,205.88
01/27 20,201.21
01/27 21,200.18
01/27 22,204.8
01/27 23,215.3
01/28 00,228.3
01/28 01,228.3
01/28 02,222.79
01/28 03,212.47
01/28 04,197.4
01/28 05,182.91
01/28 06,170.85
01/28 07,161.61
01/28 08,156.4
01/28 09,152.92
01/28 10,157.27
01/28 11,170.5
01/28 12,193.11
01/28 13,206.91
01/28 14,212.12
01/28 15,211.53
01/28 16,208.67
01/28 17,204.01
01/28 18,198.16
01/28 19,193.93
01/28 20,192.96
01/28 21,195.18
01/28 22,200.51
01/28 23,210.75
01/29 00,226.95
01/29 01,229.8
01/29 02,226.41
01/29 03,217.53
01/29 04,205.81
01/29 05,194.2
01/29 06,184.49
01/29 07,179.1
01/29 08,178.58
01/29 09,182.81
01/29 10,192.06
01/29 11,210.36
01/29 12,237.24
01/29 13,255.42
01/29 14,254.22
01/29 15,241.19
01/29 16,228.02
01/29 17,215.72
01/29 18,206.05
