ForeTime,Load
01/29 00,231.12
01/29 01,232.32
01/29 02,227.42
01/29 03,216.6
01/29 04,203.32
01/29 05,190.82
01/29 06,180.96
01/29 07,172.44
01/29 08,169.51
01/29 09,170.73
01/29 10,176.21
01/29 11,191.72
01/29 12,218.65
01/29 13,238.6
01/29 14,239.85
01/29 15,232.44
01/29 16,219.78
01/29 17,209.06
01/29 18,200.15
01/29 19,194.74
01/29 20,193.54
01/29 21,195.83
01/29 22,202.34
01/29 23,211.5
01/30 00,224.56
01/30 01,225.25
01/30 02,219.72
01/30 03,208.94
01/30 04,194.8
01/30 05,182.72
01/30 06,171.84
01/30 07,166.01
01/30 08,162.15
01/30 09,161.66
01/30 10,168.79
01/30 11,185.03
01/30 12,210.18
01/30 13,225.75
01/30 14,227.15
01/30 15,221.0
01/30 16,210.77
01/30 17,203.49
01/30 18,199.32
01/30 19,198.85
01/30 20,201.71
01/30 21,206.75
01/30 22,213.57
01/30 23,222.34
01/31 00,231.69
01/31 01,230.26
01/31 02,222.61
01/31 03,210.23
01/31 04,193.59
01/31 05,177.86
01/31 06,164.09
01/31 07,154.28
01/31 08,147.01
01/31 09,143.32
01/31 10,145.22
01/31 11,154.54
01/31 12,173.41
01/31 13,185.38
01/31 14,190.49
01/31 15,193.31
01/31 16,197.76
01/31 17,204.29
01/31 18,211.04
01/31 19,216.97
01/31 20,221.6
01/31 21,225.89
01/31 22,228.73
01/31 23,233.45
02/01 00,237.99
02/01 01,233.72
02/01 02,225.74
02/01 03,213.36
02/01 04,197.2
02/01 05,181.36
02/01 06,167.25
02/01 07,156.49
02/01 08,148.47
02/01 09,143.21
02/01 10,141.5
02/01 11,143.16
02/01 12,150.11
02/01 13,158.21
02/01 14,169.44
02/01 15,179.52
02/01 16,186.77
02/01 17,191.69
02/01 18,196.09
