target_timestamp,median,q1,q3,min,max
2025-01-20 00:00:00,226.75,226.345,227.89,225.94,229.03
2025-01-20 01:00:00,226.1,225.48000000000002,226.60500000000002,224.86,227.11
2025-01-20 02:00:00,219.56,219.35,219.695,219.14,219.83
2025-01-20 03:00:00,209.47,209.12,209.59,208.77,209.71
2025-01-20 04:00:00,196.42,195.6,197.67,194.78,198.92
2025-01-20 05:00:00,184.5,183.135,186.485,181.77,188.47
2025-01-20 06:00:00,176.85,174.935,179.39,173.02,181.93
2025-01-20 07:00:00,172.91,170.97,175.685,169.03,178.46
2025-01-20 08:00:00,172.29,170.105,175.495,167.92,178.7
2025-01-20 09:00:00,176.85,174.34,181.1,171.83,185.35
2025-01-20 10:00:00,188.63,185.805,192.785,182.98,196.94
2025-01-20 11:00:00,209.66,206.57999999999998,213.615,203.5,217.57
2025-01-20 12:00:00,238.11,235.205,242.425,232.3,246.74
2025-01-20 13:00:00,259.81,256.69,265.46500000000003,253.57,271.12
2025-01-20 14:00:00,277.5,274.04499999999996,281.495,270.59,285.49
2025-01-20 15:00:00,287.96,285.29499999999996,291.225,282.63,294.49
2025-01-20 16:00:00,287.16,285.43,290.31500000000005,283.7,293.47
2025-01-20 17:00:00,272.74,272.565,276.78999999999996,272.39,280.84
2025-01-20 18:00:00,260.1,259.28,262.07500000000005,258.46,264.05
2025-01-20 19:00:00,252.5,252.01999999999998,252.98000000000002,251.54,253.46
2025-01-20 20:00:00,245.51,245.335,245.685,245.16,245.86
2025-01-20 21:00:00,245.795,245.2325,246.3575,244.67,246.92
2025-01-20 22:00:00,259.21500000000003,258.2075,260.2225,257.2,261.23
2025-01-20 23:00:00,277.36,276.235,278.485,275.11,279.61
