target_timestamp,n_available,consensus_median,consensus_iqr,range,revision_volatility,directionality_score,day_minus_1_minus_day_minus_3
2025-01-20 00:00:00,3,226.75,1.5449999999999875,3.0900000000000034,1.3082048769210437,1.0,-3.0900000000000034
2025-01-20 01:00:00,3,226.1,1.125,2.25,0.920156991436183,1.0,-2.25
2025-01-20 02:00:00,3,219.56,0.34499999999999886,0.6900000000000261,0.28390139133157855,1.0,-0.6900000000000261
2025-01-20 03:00:00,3,209.47,0.46999999999999886,0.9399999999999977,0.3987759047663493,1.0,0.9399999999999977
2025-01-20 04:00:00,3,196.42,2.069999999999993,4.139999999999986,1.7022599357585995,1.0,4.139999999999986
2025-01-20 05:00:00,3,184.5,3.3500000000000227,6.699999999999989,2.7508342169038222,1.0,6.699999999999989
2025-01-20 06:00:00,3,176.85,4.454999999999984,8.909999999999997,3.6494048220984676,1.0,8.909999999999997
2025-01-20 07:00:00,3,172.91,4.715000000000003,9.430000000000007,3.869852136135899,1.0,9.430000000000007
2025-01-20 08:00:00,3,172.29,5.390000000000015,10.780000000000001,4.427105901903259,1.0,10.780000000000001
2025-01-20 09:00:00,3,176.85,6.759999999999991,13.519999999999982,5.580131420196714,1.0,13.519999999999982
2025-01-20 10:00:00,3,188.63,6.97999999999999,13.960000000000008,5.733529066426331,1.0,13.960000000000008
2025-01-20 11:00:00,3,209.66,7.035000000000025,14.069999999999993,5.758844405684951,1.0,14.069999999999993
2025-01-20 12:00:00,3,238.11,7.219999999999999,14.439999999999998,5.932458737038687,1.0,14.439999999999998
2025-01-20 13:00:00,3,259.81,8.775000000000034,17.55000000000001,7.26373182324348,1.0,17.55000000000001
2025-01-20 14:00:00,3,277.5,7.4500000000000455,14.900000000000034,6.088223605179661,1.0,14.900000000000034
2025-01-20 15:00:00,3,287.96,5.930000000000064,11.860000000000014,4.850079037156687,1.0,11.860000000000014
2025-01-20 16:00:00,3,287.16,4.885000000000048,9.770000000000039,4.04475792435923,1.0,9.770000000000039
2025-01-20 17:00:00,3,272.74,4.224999999999966,8.449999999999989,3.9034884683091025,1.0,8.449999999999989
2025-01-20 18:00:00,3,260.1,2.7950000000000728,5.590000000000032,2.346159983178196,1.0,5.590000000000032
2025-01-20 19:00:00,2,252.5,0.9600000000000364,1.920000000000016,0.960000000000008,,
2025-01-20 20:00:00,2,245.51,0.3499999999999943,0.700000000000017,0.3500000000000085,,
2025-01-20 21:00:00,2,245.795,1.125,2.25,1.125,,
2025-01-20 22:00:00,2,259.21500000000003,2.015000000000043,4.03000000000003,2.015000000000015,,
2025-01-20 23:00:00,2,277.36,2.25,4.5,2.25,,
