target_timestamp,pred_init_2025011700,pred_init_2025011800,pred_init_2025011900
2025-01-20 00:00:00,229.03,226.75,225.94
2025-01-20 01:00:00,227.11,226.1,224.86
2025-01-20 02:00:00,219.83,219.56,219.14
2025-01-20 03:00:00,208.77,209.47,209.71
2025-01-20 04:00:00,194.78,196.42,198.92
2025-01-20 05:00:00,181.77,184.5,188.47
2025-01-20 06:00:00,173.02,176.85,181.93
2025-01-20 07:00:00,169.03,172.91,178.46
2025-01-20 08:00:00,167.92,172.29,178.7
2025-01-20 09:00:00,171.83,176.85,185.35
2025-01-20 10:00:00,182.98,188.63,196.94
2025-01-20 11:00:00,203.5,209.66,217.57
2025-01-20 12:00:00,232.3,238.11,246.74
2025-01-20 13:00:00,253.57,259.81,271.12
2025-01-20 14:00:00,270.59,277.5,285.49
2025-01-20 15:00:00,282.63,287.96,294.49
2025-01-20 16:00:00,283.7,287.16,293.47
2025-01-20 17:00:00,272.39,272.74,280.84
2025-01-20 18:00:00,258.46,260.1,264.05
2025-01-20 19:00:00,,251.54,253.46
2025-01-20 20:00:00,,245.86,245.16
2025-01-20 21:00:00,,246.92,244.67
2025-01-20 22:00:00,,261.23,257.2
2025-01-20 23:00:00,,279.61,275.11
