timestamp,predicted_load,actual_load,error
2025-01-21 00:00:00,296.67,302.0,-5.329999999999984
2025-01-21 01:00:00,297.94,309.0,-11.060000000000002
2025-01-21 02:00:00,295.24,305.0,-9.759999999999991
2025-01-21 03:00:00,288.17,297.0,-8.829999999999984
2025-01-21 04:00:00,274.96,280.0,-5.0400000000000205
2025-01-21 05:00:00,263.03,264.0,-0.9700000000000273
2025-01-21 06:00:00,252.3,251.0,1.3000000000000114
2025-01-21 07:00:00,242.91,241.0,1.9099999999999966
2025-01-21 08:00:00,240.86,238.0,2.8600000000000136
2025-01-21 09:00:00,245.61,238.0,7.610000000000014
2025-01-21 10:00:00,256.59,244.0,12.589999999999975
2025-01-21 11:00:00,275.35,260.0,15.350000000000023
2025-01-21 12:00:00,300.45,288.0,12.449999999999989
2025-01-21 13:00:00,315.38,305.0,10.379999999999995
2025-01-21 14:00:00,315.91,309.0,6.910000000000025
2025-01-21 15:00:00,305.19,310.0,-4.810000000000002
2025-01-21 16:00:00,285.21,307.0,-21.79000000000002
2025-01-21 17:00:00,262.36,306.0,-43.639999999999986
2025-01-21 18:00:00,244.3,307.0,-62.69999999999999
2025-01-21 19:00:00,231.05,303.0,-71.94999999999999
2025-01-21 20:00:00,222.0,300.0,-78.0
2025-01-21 21:00:00,220.64,303.0,-82.36000000000001
2025-01-21 22:00:00,229.66,311.0,-81.34
2025-01-21 23:00:00,248.44,328.0,-79.56
