target_timestamp,RH2m_init_2025011100,RH2m_init_2025011200,RH2m_init_2025011300
2025-01-14 00:00:00,99.15526273155947,94.18079841451328,99.5278856381001
2025-01-14 01:00:00,99.05477195247543,97.4444207757946,99.35239204066882
2025-01-14 02:00:00,98.74392649531148,98.39932419180523,99.0412321637706
2025-01-14 03:00:00,98.30544717588702,98.43037088512204,98.85720481622164
2025-01-14 04:00:00,97.77861476984958,98.11585256544356,98.67236607620646
2025-01-14 05:00:00,97.28206513342148,97.54313870646682,98.49964010748856
2025-01-14 06:00:00,96.819431245669,96.87908387193038,97.91464275395543
2025-01-14 07:00:00,96.55943499596314,96.67843697469596,97.26759160535728
2025-01-14 08:00:00,96.08185634729084,96.17933578919344,96.4925546180516
2025-01-14 09:00:00,95.10802422869745,95.78375795485393,95.79564623674123
2025-01-14 10:00:00,93.98054616963988,94.94858355788509,95.5712519795988
2025-01-14 11:00:00,93.72132183110432,94.82152553296883,95.7262607736925
2025-01-14 12:00:00,95.23467300405645,95.5238957639726,96.1625294916787
2025-01-14 13:00:00,96.33051556630534,95.66443817005064,96.27116415553066
2025-01-14 14:00:00,93.77356146329288,93.0338595496587,93.9374257354388
2025-01-14 15:00:00,89.53372681858325,88.67270777244262,90.2808516752814
2025-01-14 16:00:00,83.34100754858757,82.29456140539789,85.07661812622945
2025-01-14 17:00:00,78.54479971300044,77.77952428847374,80.50921908983595
2025-01-14 18:00:00,75.09759578804073,75.13043884574874,77.79604368220681
2025-01-14 19:00:00,,73.44629324258939,76.40751206384179
2025-01-14 20:00:00,,72.90501526932887,75.86652690654803
2025-01-14 21:00:00,,73.36233949243727,76.4352843279651
2025-01-14 22:00:00,,76.50134411303169,79.48543755136201
2025-01-14 23:00:00,,80.40820358763126,83.27810693441413
