ForeTime,Load
01/05 00,228.23
01/05 01,234.71
01/05 02,235.15
01/05 03,229.1
01/05 04,221.23
01/05 05,212.77
01/05 06,207.75
01/05 07,205.03
01/05 08,207.72
01/05 09,215.69
01/05 10,225.37
01/05 11,240.23
01/05 12,258.42
01/05 13,276.03
01/05 14,277.35
01/05 15,260.65
01/05 16,239.52
01/05 17,223.89
01/05 18,211.48
01/05 19,200.8
01/05 20,194.51
01/05 21,193.26
01/05 22,195.74
01/05 23,203.0
01/06 00,212.42
01/06 01,214.16
01/06 02,209.97
01/06 03,200.63
01/06 04,188.76
01/06 05,176.25
01/06 06,164.89
01/06 07,157.77
01/06 08,153.43
01/06 09,150.85
01/06 10,155.91
01/06 11,168.63
01/06 12,187.43
01/06 13,198.45
01/06 14,203.17
01/06 15,203.77
01/06 16,203.98
01/06 17,203.72
01/06 18,203.82
01/06 19,203.46
01/06 20,199.68
01/06 21,199.24
01/06 22,203.48
01/06 23,211.35
01/07 00,224.5
01/07 01,224.89
01/07 02,223.34
01/07 03,217.04
01/07 04,208.68
01/07 05,202.17
01/07 06,194.8
01/07 07,190.58
01/07 08,193.9
01/07 09,201.88
01/07 10,215.93
01/07 11,237.3
01/07 12,265.67
01/07 13,285.37
01/07 14,294.49
01/07 15,292.44
01/07 16,278.61
01/07 17,262.89
01/07 18,246.79
01/07 19,233.92
01/07 20,227.33
01/07 21,225.46
01/07 22,236.03
01/07 23,257.27
01/08 00,281.22
01/08 01,285.63
01/08 02,283.02
01/08 03,276.32
01/08 04,268.1
01/08 05,259.72
01/08 06,253.92
01/08 07,248.99
01/08 08,249.78
01/08 09,253.51
01/08 10,263.91
01/08 11,284.05
01/08 12,311.34
01/08 13,334.84
01/08 14,337.75
01/08 15,315.72
01/08 16,286.78
01/08 17,264.31
01/08 18,246.12
