timestamp,predicted_load,actual_load,error
2025-01-25 00:00:00,296.12,301.0,-4.8799999999999955
2025-01-25 01:00:00,300.31,312.0,-11.689999999999998
2025-01-25 02:00:00,302.06,321.0,-18.939999999999998
2025-01-25 03:00:00,300.36,327.0,-26.639999999999986
2025-01-25 04:00:00,291.89,325.0,-33.110000000000014
2025-01-25 05:00:00,287.49,322.0,-34.50999999999999
2025-01-25 06:00:00,283.27,323.0,-39.73000000000002
2025-01-25 07:00:00,281.95,326.0,-44.05000000000001
2025-01-25 08:00:00,285.97,332.0,-46.02999999999997
2025-01-25 09:00:00,292.76,339.0,-46.24000000000001
2025-01-25 10:00:00,306.89,352.0,-45.110000000000014
2025-01-25 11:00:00,325.45,365.0,-39.55000000000001
2025-01-25 12:00:00,342.13,382.0,-39.870000000000005
2025-01-25 13:00:00,354.93,400.0,-45.06999999999999
2025-01-25 14:00:00,349.9,401.0,-51.10000000000002
2025-01-25 15:00:00,324.21,362.0,-37.79000000000002
2025-01-25 16:00:00,295.93,315.0,-19.069999999999993
2025-01-25 17:00:00,266.92,282.0,-15.079999999999984
2025-01-25 18:00:00,246.91,258.0,-11.090000000000003
2025-01-25 19:00:00,232.77,239.0,-6.22999999999999
2025-01-25 20:00:00,222.21,224.0,-1.789999999999992
2025-01-25 21:00:00,217.34,217.0,0.3400000000000034
2025-01-25 22:00:00,218.32,221.0,-2.680000000000007
2025-01-25 23:00:00,229.94,234.0,-4.060000000000002
